Hotel,Alamat1,Alamat2,Alamat3,Alamat4
Hotel Zenrooms Hayam Wuruk,Jalan Hayam Wuruk 1,Gambir,Central Jakarta,10120
Redtop Hotel & Convention Center,Jl. Pecenongan No.72,Gambir,Central Jakarta,10120
Quality Hotel Jakarta,Jl.Ir.H. Juanda I No.1,Gambir,Central Jakarta,10120
Amaris Hotel Juanda,Jalan Ir H Juanda Raya No.3,Gambir,Central Jakarta,10120
Morrissey Hotel,Jalan KH Wahid Hasyim 70,Menteng,Central Jakarta,10350
Cemara Hotel,Jalan KH. Wahid Hasyim No.69,Menteng,Central Jakarta,10350
Ibis Jakarta Tamarin,Jalan KH Wahid Hasyim 77,Menteng,Central Jakarta,10340
Hotel Akmani,Jalan KH Wahid Hasyim 81,Menteng,Central Jakarta,10340
Ibis Jakarta Acardia,Jalan KH Wahid Hasyim 114,Menteng,Central Jakarta,10350
Hotel Aryaduta,Jalan Arief Rachman Hakim,Gambir,Central Jakarta,10340
Hotel Gren Alia Prapatan,Jl. Prapatan Raya 28,Senen,Central Jakarta,10410
Alila Jakarta,Jalan Pacenongan Kav. 7-17,Gambir,Central Jakarta,10120
Hotel Zenrooms Hayam Wuruk,Jalan Hayam Wuruk 1,Gambir,Central Jakarta,10120
